text,language,text_length,tokens
हय झतक नवय परतत थइचय सथन लककड तचय मइभषत उलइज पडतल दकन तचय उलऊचय रततआन सबदत सथन भषच मसत परभव पडत,kok,172,"['हय', 'झतक', 'नवय', 'परतत', 'थइचय', 'सथन', 'लककड', 'तचय', 'मइभषत', 'उलइज', 'पडतल', 'दकन', 'तचय', 'उलऊचय', 'रततआन', 'सबदत', 'सथन', 'भषच', 'मसत', 'परभव', 'पडत']"
കഴനത തമഴർകക കളനത എനന മറയരപതതൽ അറയമങകല കഴവ തമഴൽ ഇലല,ml,80,"['കഴനത', 'തമഴർകക', 'കളനത', 'എനന', 'മറയരപതതൽ', 'അറയമങകല', 'കഴവ', 'തമഴൽ', 'ഇലല']"
എനനൽ ഈ സവധന രജകകനമരല മററമയരനനങകല ജനങങളട വയവഹരഭഷ മലനട ഭഷ തനനയയരനന,ml,106,"['എനനൽ', 'ഈ', 'സവധന', 'രജകകനമരല', 'മററമയരനനങകല', 'ജനങങളട', 'വയവഹരഭഷ', 'മലനട', 'ഭഷ', 'തനനയയരനന']"
ककण लखत interest वढलय,kok,32,"['ककण', 'लखत', 'interest', 'वढलय']"
আধনক বল শবদভণডর মগধ পরকত পল সসকত ফরস আরব ভষ এব অসটরএশয ভষসমহ সহ অনযনয ভষ পরবরর শবদ সথন পযছ,bn,145,"['আধনক', 'বল', 'শবদভণডর', 'মগধ', 'পরকত', 'পল', 'সসকত', 'ফরস', 'আরব', 'ভষ', 'এব', 'অসটরএশয', 'ভষসমহ', 'সহ', 'অনযনয', 'ভষ', 'পরবরর', 'শবদ', 'সথন', 'পযছ']"
தமழநட tamil nadu எனபத இநதயவன 28 மநலஙகளல ஒனறகம,ta,68,"['தமழநட', 'tamil', 'nadu', 'எனபத', 'இநதயவன', '28', 'மநலஙகளல', 'ஒனறகம']"
भषवद हनद एव उरद क एक ह भष समझत ह,hi,48,"['भषवद', 'हनद', 'एव', 'उरद', 'क', 'एक', 'ह', 'भष', 'समझत', 'ह']"
दवनगर गयत ओपचरक लप आस,kok,33,"['दवनगर', 'गयत', 'ओपचरक', 'लप', 'आस']"
கஞசபரததத தல நகரமகக கணட தமழநடடன பரமபகதயத தஙகள கடடபபடடககள வததரநதனர,ta,108,"['கஞசபரததத', 'தல', 'நகரமகக', 'கணட', 'தமழநடடன', 'பரமபகதயத', 'தஙகள', 'கடடபபடடககள', 'வததரநதனர']"
2013 മയ 23ന ചർനന കനദരമനതരസഭയഗമണ മലയളതത ശരഷഠഭഷയയ അഗകരചചത ഇനതയൻ ഭരണഘടനയല എടട ഷഡയളൽ ഉൾപപടതതയരകകനന ഇനതയയല ഇരപതതരണട ഔദയഗക ഭഷകളൽ ഒനനണ മലയള6,ml,206,"['2013', 'മയ', '23ന', 'ചർനന', 'കനദരമനതരസഭയഗമണ', 'മലയളതത', 'ശരഷഠഭഷയയ', 'അഗകരചചത', 'ഇനതയൻ', 'ഭരണഘടനയല', 'എടട', 'ഷഡയളൽ', 'ഉൾപപടതതയരകകനന', 'ഇനതയയല', 'ഇരപതതരണട', 'ഔദയഗക', 'ഭഷകളൽ', 'ഒനനണ', 'മലയള6']"
తలగ అజత భష,te,16,"['తలగ', 'అజత', 'భష']"
अनक लखक व कव यन रजशरय हत,mr,36,"['अनक', 'लखक', 'व', 'कव', 'यन', 'रजशरय', 'हत']"
like icelandic and faroese the development of english in the british isles isolated it from the continental germanic languages and influences and it has since diverged considerably,en,182,"['like', 'icelandic', 'and', 'faroese', 'the', 'development', 'of', 'english', 'in', 'the', 'british', 'isles', 'isolated', 'it', 'from', 'the', 'continental', 'germanic', 'languages', 'and', 'influences', 'and', 'it', 'has', 'since', 'diverged', 'considerably']"
in modern english the loss of grammatical case is almost complete it is now only found in pronouns such as he and him she and her who and whom and svo word order is mostly fixed,en,184,"['in', 'modern', 'english', 'the', 'loss', 'of', 'grammatical', 'case', 'is', 'almost', 'complete', 'it', 'is', 'now', 'only', 'found', 'in', 'pronouns', 'such', 'as', 'he', 'and', 'him', 'she', 'and', 'her', 'who', 'and', 'whom', 'and', 'svo', 'word', 'order', 'is', 'mostly', 'fixed']"
۱۸۵۷ بغاوتہ پتہ گیہ تم آگرا,ks,36,"['۱۸۵۷', 'بغاوتہ', 'پتہ', 'گیہ', 'تم', 'آگرا']"
కబటట తలగ భష మటలడవర శతవహన వశప రజల ఆగమననక మదగ కషణ గదవర నదల మధయ భభగల నవస ఉడ వర ఉటరన నరణయచవచచ,te,146,"['కబటట', 'తలగ', 'భష', 'మటలడవర', 'శతవహన', 'వశప', 'రజల', 'ఆగమననక', 'మదగ', 'కషణ', 'గదవర', 'నదల', 'మధయ', 'భభగల', 'నవస', 'ఉడ', 'వర', 'ఉటరన', 'నరణయచవచచ']"
کے,ks,4,['کے']
తలగల ఒక వకయ పరణవరమ త కన దరఘవరమత కన మగచబడతద,te,74,"['తలగల', 'ఒక', 'వకయ', 'పరణవరమ', 'త', 'కన', 'దరఘవరమత', 'కన', 'మగచబడతద']"
स,mr,1,['स']
یێمؠسنز آبٲدی چھے ۱۳۵ ارب,ks,32,"['یێمؠسنز', 'آبٲدی', 'چھے', '۱۳۵', 'ارب']"
কনত মগধ পৰকত সমপৰক বহ কইজন ভষবজঞন সহমতত উপনত হছ,as,70,"['কনত', 'মগধ', 'পৰকত', 'সমপৰক', 'বহ', 'কইজন', 'ভষবজঞন', 'সহমতত', 'উপনত', 'হছ']"
तयच कळ शक ९८२इ,mr,22,"['तयच', 'कळ', 'शक', '९८२इ']"
त वरगक पच अकषर त थ द ध न अरध न अननसक वरण दनतय उचचरण,ne,72,"['त', 'वरगक', 'पच', 'अकषर', 'त', 'थ', 'द', 'ध', 'न', 'अरध', 'न', 'अननसक', 'वरण', 'दनतय', 'उचचरण']"
एतष करत अदयप जगत समललसत,sa,39,"['एतष', 'करत', 'अदयप', 'जगत', 'समललसत']"
ப,ta,2,['ப']
समतल नपल भष,ne,20,"['समतल', 'नपल', 'भष']"
યકમ 200000 જટલ ગજરત બલનર લક છ તમન ઘણ લડન વસતરમ ખસ કરન ઉતતર પશચમ લડનમ સથત છ અન એ ઉપરત બરમગહમ મનચસટર અન લસસટર કવનટર બરડફરડ અન લનકશયરમ આવલ ભતપરવ મલન શહરમ પણ છ,gu,244,"['યકમ', '200000', 'જટલ', 'ગજરત', 'બલનર', 'લક', 'છ', 'તમન', 'ઘણ', 'લડન', 'વસતરમ', 'ખસ', 'કરન', 'ઉતતર', 'પશચમ', 'લડનમ', 'સથત', 'છ', 'અન', 'એ', 'ઉપરત', 'બરમગહમ', 'મનચસટર', 'અન', 'લસસટર', 'કવનટર', 'બરડફરડ', 'અન', 'લનકશયરમ', 'આવલ', 'ભતપરવ', 'મલન', 'શહરમ', 'પણ', 'છ']"
हनद म ण क उचचरण कभकभ ड क तरह हत ह यन क जभ मह क छत क एक जरदर ठकर मरत ह,hi,102,"['हनद', 'म', 'ण', 'क', 'उचचरण', 'कभकभ', 'ड', 'क', 'तरह', 'हत', 'ह', 'यन', 'क', 'जभ', 'मह', 'क', 'छत', 'क', 'एक', 'जरदर', 'ठकर', 'मरत', 'ह']"
এই আনদলন পকসতন সরকরর নকট বল ভষর সরকর সবকত দব কর হয,bn,76,"['এই', 'আনদলন', 'পকসতন', 'সরকরর', 'নকট', 'বল', 'ভষর', 'সরকর', 'সবকত', 'দব', 'কর', 'হয']"
মন রখত হব য এই কলসম অতযনত আনমনক,bn,45,"['মন', 'রখত', 'হব', 'য', 'এই', 'কলসম', 'অতযনত', 'আনমনক']"
norse influence was strongest in the northeastern varieties of old english spoken in the danelaw area around york which was the centre of norse colonisation today these features are still particularly present in scots and northern english,en,242,"['norse', 'influence', 'was', 'strongest', 'in', 'the', 'northeastern', 'varieties', 'of', 'old', 'english', 'spoken', 'in', 'the', 'danelaw', 'area', 'around', 'york', 'which', 'was', 'the', 'centre', 'of', 'norse', 'colonisation', 'today', 'these', 'features', 'are', 'still', 'particularly', 'present', 'in', 'scots', 'and', 'northern', 'english']"
सङघयऽथ च रजययष सरवकरष करयकरण वधयक नययपलक च शख वरतत,sa,82,"['सङघयऽथ', 'च', 'रजययष', 'सरवकरष', 'करयकरण', 'वधयक', 'नययपलक', 'च', 'शख', 'वरतत']"
અમરકમ મસચસટસ બ કલન અમરકન તર કલનઓમ સરવપરથમ એન કલન હત જણ બકનટ ચલણમ મકવન સહસ કરય હત,gu,127,"['અમરકમ', 'મસચસટસ', 'બ', 'કલન', 'અમરકન', 'તર', 'કલનઓમ', 'સરવપરથમ', 'એન', 'કલન', 'હત', 'જણ', 'બકનટ', 'ચલણમ', 'મકવન', 'સહસ', 'કરય', 'હત']"
रषटरपत महतमगनध अहसमरगणव सवतनतरय परपयत,sa,65,"['रषटरपत', 'महतमगनध', 'अहसमरगणव', 'सवतनतरय', 'परपयत']"
تاہم یہ معاشی و سیاسی لحاظ سے ایک دوسرے سے مختلف ہیں,ur,54,"['تاہم', 'یہ', 'معاشی', 'و', 'سیاسی', 'لحاظ', 'سے', 'ایک', 'دوسرے', 'سے', 'مختلف', 'ہیں']"
